Code,Airport
BNF,Baranof Warm Springs Float and Seaplane Base
BNG,Banning Municipal Airport
BNH,Cape Air Seaplanes on Boston Harbor Seaplane Base
BNI,Benin Airport
BNJ,Bonn-Hangelar Airport
BNK,Ballina Byron Gateway Airport
BNL,Barnwell Regional Airport
BNM,Bodinumu Airport
BNN,Br??nn??ysund Airport
BNO,Burns Municipal Airport
BNP,Bannu Airport
BNQ,Baganga airport
BNR,Banfora Airport
BNS,Barinas Airport
BNT,Bundi Airport
BNU,Blumenau Airport
BNV,Boana Airport
BNW,Boone Municipal Airport
BNX,Banja Luka International Airport
BNY,Bellona/Anua Airport
BNZ,Banz Airport
BOA,Boma Airport
BOB,Bora Bora Airport
BOC,Bocas Del Toro International Airport
BOD,Bordeaux-M??rignac Airport
BOE,Boundji Airport
BOF,Bolling Air Force Base
BOG,El Dorado International Airport
BOH,Bournemouth Airport
BOI,Boise Air Terminal/Gowen Field
BOJ,Burgas Airport
BOK,Brookings Airport
BOM,Chhatrapati Shivaji International Airport
BON,Flamingo International Airport
BOO,Bod?? Airport
BOP,Bouar Airport
BOQ,Boku Airport
BOR,Fontaine Airport
BOS,General Edward Lawrence Logan International Airport
BOT,Bosset Airport
BOU,Bourges Airport
BOV,Boang Airport
BOW,Bartow Municipal Airport
BOX,Borroloola Airport
BOY,Bobo Dioulasso Airport
BOZ,Bozoum Airport
BPA,Grumman Bethpage Airport
BPC,Bamenda Airport
BPD,Bapi Airstrip
BPE,Qinhuangdao Beidaihe Airport
BPF,Batuna Aerodrome
BPG,Barra do Gar??as Airport
BPH,Bislig Airport
BPI,Miley Memorial Field
BPK,Biangabip Airport
BPL,Alashankou Bole (Bortala) airport
